id.orig,Original Author,Year,Delete metric,Metric.obsolete,Name.obsolete,Label,Notation,Category,by.id,by.Author,Team,Experiment,Subjects,Models,Concept,Statistics test used,Result,Comments,,,
55413,Garcia2003inte,2003,,NPR,number of roles,NumberOfRoles,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NWP,number of work products,NumberOfWorkProducts,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,RPRA,ratio of process roles and activities,RatioOfProcessRolesAndActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,RWPA,ratio of work products and activities,RatioOfWorkProductsAndActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,NDWP,number of dependences,NumberOfDependences,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,NDWPIn,number of input dependences,NumberOfInputDependences,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,NDWPOut,number of output dependences,NumberOfOutputDependences,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,RDWPIn,ratio between input dependencies and number of dependencies,RatioBetweenInDependenciesXDependencies,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,RDWPOut,ratio between output dependencies and the number of dependencies,RatioBetweenOutDependenciesXDependencies,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,CA,activity coupling,ActivityCoupling,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NA,number of activities,NumberOfActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,NDRA,number of precedence dependences between activities,NumberOfPrecedenceDependencesBActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,NPR,number of roles,NumberOfRoles,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NWP,number of work products,NumberOfWorkProducts,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,RPRA,ratio of process roles and activities,RatioOfProcessRolesAndActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,RWPA,ratio of work products and activities,RatioOfWorkProductsAndActivities,SPEM,Hw,116,Garcia2004defi,Garcia,3,29,18,Understandability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,NDWP,number of dependences,NumberOfDependences,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,NDWPIn,number of input dependences,NumberOfInputDependences,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,NDWPOut,number of output dependences,NumberOfOutputDependences,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,RDWPIn,ratio between input dependencies and number of dependencies,RatioBetweenInDependenciesXDependencies,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,RDWPOut,ratio between output dependencies and the number of dependencies,RatioBetweenOutDependenciesXDependencies,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,CA,activity coupling,ActivityCoupling,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NA,number of activities,NumberOfActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,NDRA,number of precedence dependences between activities,NumberOfPrecedenceDependencesBActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NPR,number of roles,NumberOfRoles,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NWP,number of work products,NumberOfWorkProducts,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,RPRA,ratio of process roles and activities,RatioOfProcessRolesAndActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,RWPA,ratio of work products and activities,RatioOfWorkProductsAndActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Modifiability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,NDWP,number of dependences,NumberOfDependences,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,NDWPIn,number of input dependences,NumberOfInputDependences,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,NDWPOut,number of output dependences,NumberOfOutputDependences,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
117,Garcia2004,2004,,RDWPIn,ratio between input dependencies and number of dependencies,RatioBetweenInDependenciesXDependencies,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,No,,,,
117,Garcia2004,2004,,RDWPOut,ratio between output dependencies and the number of dependencies,RatioBetweenOutDependenciesXDependencies,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,CA,activity coupling,ActivityCoupling,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,NA,number of activities,NumberOfActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,NDRA,number of precedence dependences between activities,NumberOfPrecedenceDependencesBActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,NPR,number of roles,NumberOfRoles,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,NWP,number of work products,NumberOfWorkProducts,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,validated,,,,
55413,Garcia2003inte,2003,,RPRA,ratio of process roles and activities,RatioOfProcessRolesAndActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,No,,,,
55413,Garcia2003inte,2003,,RWPA,ratio of work products and activities,RatioOfWorkProductsAndActivities,SPEM,Hw,117,Garcia2004,Garcia,4,86,10,Understandability time,Spearman correlation,No,,,,
151,Kluza2012,2012,,DSM,Durfee square metric,DurfeeSquareMetric,BPMN,CM,135,Kluza2014squa,Kluza,1,0,10,Complexity,Correlation,No,,,,
151,Kluza2012,2012,,PSM,perfect square metric,PerfectSquareMetric,BPMN,CM,135,Kluza2014squa,Kluza,1,0,10,Complexity,Correlation,No,,,,
111,Cardoso2006b,2006,Dup,CNC,coefficient of network complexity\cite{Latva2001},CoefficientOfNetworkComplexity,Graph,CS,148,Solichah2013expl,Solichah,1,0,4,Complexity,histograms,No,,,,
111,Cardoso2006b,2006,,D,process difficulty,ProcessDifficulty,Graph,CS,148,Solichah2013expl,Solichah,1,0,4,Complexity,histograms,validated,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,CS,148,Solichah2013expl,Solichah,1,0,4,Complexity,histograms,No,,,,
174,Muketha2010,2010,,ACCSA,average cognitive complexity of structured activity,AverageCognitiveComplexityOfStructActivity,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
174,Muketha2010,2010,,ALSA,average length of structured activity,AverageLengthOfStructuredActivity,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
174,Muketha2010,2010,,CCBP,cognitive complexity,CognitiveComplexity,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
174,Muketha2010,2010,,IF4BP,information flow complexity,InformationFlowComplexity,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
174,Muketha2010,2010,,NOBA,number of basic activities,NumberOfBasicActivities,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
174,Muketha2010,2010,,NOSA,number of structured activities,NumberOfStructuredActivities,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
174,Muketha2010,2010,,SCBP,structural complexity,StructuralComplexityMuketha,BPEL,I,174,Muketha2010,Muketha,1,0,3,Unknown,none,intuitive,,,,
178,Khoshkbar2009amet,2009,,$P_{CIM}$,Process context independency metric,ProcessContextIndependency,BPEL,E,178,Khoshkbar2009amet,Khoshkbar,1,3,20,Best design,none,intuitive,,,,
1587,Mendling2007,2007,,CYC,cyclicity,Cyclicity,EPC,S,195,Mendling2007a,Mendling,1,0,600,Error determinant,"ANOVA, Correlation, Logistic Regression",No,,,,
1587,Mendling2007,2007,,$S_N$,number of nodes,NumberOfNodes,EPC,S,195,Mendling2007a,Mendling,1,0,600,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,${\prod}$,separability ratio,SeparabilityRatio,EPC,S,195,Mendling2007a,Mendling,1,0,600,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$\Xi$,sequentiality ratio,SequentialityRatio,EPC,S,195,Mendling2007a,Mendling,1,0,600,Error determinant,"ANOVA, Correlation, Logistic Regression",No,,,,
1587,Mendling2007,2007,,$\Phi$,structuredness ratio,StructurednessRatio,EPC,S,195,Mendling2007a,Mendling,1,0,600,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,TS,token split,TokenSplit,EPC,S,195,Mendling2007a,Mendling,1,0,600,Error determinant,"ANOVA, Correlation, Logistic Regression",No,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,Hw,200,Cardoso2006a,Cardoso,1,19,22,Rating of control-flow complexity,Spearman correlation,validated,this is a bad experiment (see paper for details) [dup of Cardoso2008],,,
1470,Latva2001,2001,,$CNC_K$,coefficient of Network Complexity (Kaimann),CoefficientOfNetworkComplexityKaimann,Graph,CS,1470,Latva2001,Latva,1,0,6,Validity,none,No,,,No,Graph based
1470,Latva2001,2001,,$CNC_P$,coefficient of Network Complexity (Pascoe),CoefficientOfNetworkComplexityPascoe,Graph,CS,1470,Latva2001,Latva,1,0,6,Validity,none,No,,,No,Graph based
1470,Latva2001,2001,,CI,complexity Index,ComplexityIndex,Graph,CS,1470,Latva2001,Latva,1,0,6,Validity,none,No,,,No,Graph based
1470,Latva2001,2001,,S,cyclomatic number,CyclomaticNumber,Graph,CS,1470,Latva2001,Latva,1,0,6,Validity,none,validated,,,No,Graph based
1470,Latva2001,2001,,T,number of trees in a graph,NumberOfTreesInAGraph,Graph,CS,1470,Latva2001,Latva,1,0,6,Validity,none,validated,,,No,Graph based
1470,Latva2001,2001,,RT,restrictiveness estimator,RestrictivenessEstimator,Graph,CS,1470,Latva2001,Latva,1,0,6,Validity,none,validated,,,No,Graph based
1475,Vanderfeesten2008a,2008,,CC,cross-connectivity,CrossConnectivity,EPC,S,1475,Vanderfeesten2008a,Vanderfeesten,1,0,604,Error determinant,correlation/regression,validated,,,,
1475,Vanderfeesten2008a,2008,,CC,cross-connectivity,CrossConnectivity,EPC,H,1475,Vanderfeesten2008a,Vanderfeesten,2,73,12,Understandability,correlation/regression,No,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,Hw,1485,Rolon2009anal,Rolon,1,109,10,Modifiability,Spearman correlation,validated,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,Hw,1485,Rolon2009anal,Rolon,1,109,10,Understandability,Spearman correlation,No,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,Hw,1485,Rolon2009anal,Rolon,2,115,15,Modifiability,Spearman correlation,validated,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,Hw,1485,Rolon2009anal,Rolon,2,115,15,Understandability,Spearman correlation,validated,,,,
1546,Huan2014stud,2014,Dup,IF,Information flow complexity\cite{Muketha2010},InformationFlowComplexityHuan,YAWL,CM,1546,Huan2014stud,Huan,1,0,2,Complexity,none,validated,,,,
1563,Kluza2015meas,2015,,Complexity,Complexity of process integrated with rules,ComplexityOfProcessWithRules,BPMN,CM,1563,Kluza2015meas,Kluza,1,0,3,Complexity,none,validated,,,,
1568,Borgert2009acom,2009,,$I_{f^V}$,Dehmer's graph entropy,DehmersGraphEntropy,Graph,M,1568,Borgert2009acom,Borgert,1,0,0,Unknown,Correlation,No,,,,
1568,Borgert2009acom,2009,Dup,C,McCabe's Cyclomatic Number\cite{Latva2001},McCabeCyclomaticNumberBorgert,Graph,M,1568,Borgert2009acom,Borgert,1,0,0,Unknown,Correlation,No,,,,
1568,Borgert2009acom,2009,,R,Randi\'{c}'s connectivity index,RandicConnectivityIndex,Graph,M,1568,Borgert2009acom,Borgert,1,0,0,Unknown,Correlation,No,,,,
1568,Borgert2009acom,2009,,W,Wiener's index,WienerIndex,Graph,M,1568,Borgert2009acom,Borgert,1,0,0,Unknown,Correlation,No,,,,
1475,Vanderfeesten2008a,2008,,CC,cross-connectivity,CrossConnectivity,EPC,H,1571,Maesalu2011comp,Maesalu,1,16,8,Perceived difficulty,Pearson correlation,No,,,,
1480,Cardoso2005cont,2005,,CFC,control-flow complexity,ControlflowComplexity,Graph,H,1571,Maesalu2011comp,Maesalu,1,16,8,Perceived difficulty,Pearson correlation,No,,,,
1587,Mendling2007,2007,,$\overline{d_C}$,average degree of connectors,AverageDegreeOfConnectors,EPC,H,1571,Maesalu2011comp,Maesalu,1,16,8,Perceived difficulty,Pearson correlation,No,,,,
1587,Mendling2007,2007,,$\Delta$,density of the process graph,DensityOfTheProcessGraph,EPC,H,1571,Maesalu2011comp,Maesalu,1,16,8,Perceived difficulty,Pearson correlation,No,,,,
1587,Mendling2007,2007,,$S_N$,number of nodes,NumberOfNodes,EPC,H,1571,Maesalu2011comp,Maesalu,1,16,8,Perceived difficulty,Pearson correlation,No,,,,
1584,Mendling2006a,2006,,Cycle,cycle,Cycle,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,JC,join complexity,JoinComplexity,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,JSR,join-split-ratio,JoinSplitRatio,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,$AND_j$,number of AND joins,NumberOfANDJoins,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,$AND_s$,number of AND splits,NumberOfANDSplits,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,A,number of arcs,NumberOfArcs,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,Dup,$E_{end}$,number of end events\cite{Rolon2006},NumberOfEndEventsMendling,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,F,number of functions,NumberOfFunctions,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,$E_{int}$,number of internal events,NumberOfInternalEvents,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,"It was Partial validation (in Results), but that is equal to No validation",,,
1584,Mendling2006a,2006,,$OR_{j}$,number of OR joins,NumberOfORJoins,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,"It was Partial validation (in Results), but that is equal to No validation",,,
1584,Mendling2006a,2006,,$OR_{s}$,number of OR splits,NumberOfORSplits,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,"It was Partial validation (in Results), but that is equal to No validation",,,
1584,Mendling2006a,2006,Dup,$E_{start}$,number of start events\cite{Rolon2006},NumberOfStartEventsMendling,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,"It was Partial validation (in Results), but that is equal to No validation",,,
1584,Mendling2006a,2006,,$XOR_{j}$,number of XOR joins,NumberOfXORJoins,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,"It was Partial validation (in Results), but that is equal to No validation",,,
1584,Mendling2006a,2006,,$XOR_{s}$,number of XOR splits,NumberOfXORSplits,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1584,Mendling2006a,2006,,SC,split complexity,SplitComplexity,YAWL,S,1584,Mendling2006a,Mendling,1,0,604,Error determinant,Logistic regression,No,,,,
1585,Coskun2014phd,2014,,CADAC,cognitive activity depth arc control flow,CognitiveActivityDepthArcControlFlow,BPMN,CM,1585,Coskun2014phd,Coskun,1,0,12,Complexity,none,validated,,,,
1586,Reijers2004,2004,,c,process cohesion,ProcessCohesion,Graph,I,1586,Reijers2004,Reijers,1,0,3,Cohesion and coupling,none,intuitive,,,,
1586,Reijers2004,2004,,k,process coupling,ProcessCoupling,Graph,I,1586,Reijers2004,Reijers,1,0,3,Cohesion and coupling,none,intuitive,,,,
1586,Reijers2004,2004,,$\rho$,process coupling/cohesion ratio,ProcessCouplingCohesionRatio,Graph,I,1586,Reijers2004,Reijers,1,0,3,Cohesion and coupling,none,intuitive,,,,
1587,Mendling2007,2007,,$\overline{d_C}$,average degree of connectors,AverageDegreeOfConnectors,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",No,"It was Partial validation (in Results), but that is equal to No validation",,,
1587,Mendling2007,2007,Dup,CNC,coefficient of network connectivity\cite{Latva2001},CoefficientOfNetworkConnectivity,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,CH,connector heterogeneity,ConnectorHeterogeneity,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,MM,connector Mismatch,ConnectorMismatch,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,CYC,cyclicity,Cyclicity,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$\Delta$,density of the process graph,DensityOfTheProcessGraph,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",No,,,,
1587,Mendling2007,2007,,diam,diameter,Diameter,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$\Lambda$,maximum depth of all nodes,MaximumDepthOfAllNodes,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$\widehat{d_C}$,maximun degree of a connector,MaximunDegreeOfAConnector,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$S_{C_{and}}$,number of AND connectors,NumberOfANDConnectors,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{j_{and}}$,number of AND joins\cite{Mendling2006a},NumberOfANDJoinsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{S_{and}}$,number of AND splits\cite{Mendling2006a},NumberOfANDSplitsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_A$,number of arcs \cite{Mendling2006a},NumberOfArcsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$S_C$,Number of connectors,NumberOfConnectors,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{E_E}$,number of end events\cite{Rolon2006},NumberOfEndEventsMendlingX,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_E$,Number of events\cite{Rolon2006},NumberOfEventsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_F$,number of functions\cite{Mendling2006a},NumberOfFunctionsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$S_N$,number of nodes,NumberOfNodes,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$S_{C_{or}}$,number of OR connectors,NumberOfORConnectors,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{j_{or}}$,number of OR joins\cite{Mendling2006a},NumberOfORJoinsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{S_{or}}$,number of OR splits\cite{Mendling2006a},NumberOfORSplitsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{E_S}$,number of start events\cite{Rolon2006},NumberOfStartEventsMendlingX,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$S_{C_{xor}}$,number of XOR connectors,NumberOfXORConnectors,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{j_{xor}}$,number of XOR joins\cite{Mendling2006a},NumberOfXORJoinsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,Dup,$S_{S_{xor}}$,number of XOR splits\cite{Mendling2006a},NumberOfXORSplitsMendling,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,${\prod}$,separability ratio,SeparabilityRatio,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$\Xi$,sequentiality ratio,SequentialityRatio,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,$\Phi$,structuredness ratio,StructurednessRatio,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1587,Mendling2007,2007,,TS,token split,TokenSplit,EPC,S,1587,Mendling2007,Mendling,1,0,2003,Error determinant,"ANOVA, Correlation, Logistic Regression",validated,,,,
1588,Mendling2006,2006,,$d_e$,density of an EPC,DensityOfAnEPC,EPC,S,1588,Mendling2006,Mendling,1,0,604,Error determinant, logistic regression (logit),No,"It was Partial validation (in Results), but that is equal to No validation",,,
